index,task,verb,sentence,neg_sentence,complement,turker_pos_ratings,turker_neg_ratings,bert_pos_entailment_prob,bert_pos_contradiction_prob,bert_pos_neutral_prob,bert_neg_entailment_prob,bert_neg_contradiction_prob,bert_neg_neutral_prob,signature
464,to,start,Canada Miss started to look a little sloppy.,Canada Miss did not start to look a little sloppy.,Canada miss looked a little sloppy.,"0.0,1.0,1.0","-2.0,-2.0,-1.0",0.9988049,0.000224445,0.000970604,0.006892014,0.9879342,0.005173792,+/-
465,to,intend,The Persians intended to destroy everything that was great.,The Persians did not intend to destroy everything that was great.,The persians destroyed everything that was great.,"0.0,0.0,1.0","-2.0,0.0,1.0",0.9955166,0.001244111,0.003239395,0.000174246,0.99947256,0.000353268,o/o
466,to,seek,Low-performing organizations also seek to involve and engage employees,Low-performing organizations also do not seek to involve and engage employees,Low-performing organizations also involve and engage.,"0.0,1.0,1.0","-2.0,-1.0,0.0",0.9983298,0.000281964,0.001388202,0.000259749,0.9991918,0.000548438,o/o
467,to,choose,Some Libyans chose to stay and fight with Bin Laden.,Some Libyans did not choose to stay and fight with Bin Laden.,Some libyans stayed and fight with bin laden.,"2.0,2.0,2.0","0.0,1.0,1.0",0.99886,0.000295182,0.000844857,0.27555406,0.4395881,0.28485784,o/o
468,to,like,Democrats like to use that dodge.,Democrats do not like to use that dodge.,Democrats use that dodge.,"0.0,1.0,1.0","-2.0,0.0,0.0",0.99719316,0.000630186,0.002176686,0.002400595,0.9955402,0.002059177,o/o
469,to,want,I want to change things.,I do not want to change things.,I change things.,"0.0,0.0,0.0","-2.0,-2.0,-1.0",0.97503537,0.002969541,0.02199508,0.00162763,0.99621874,0.002153694,o/o
470,to,tend,She tended to change her mind when confronted.,She did not tend to change her mind when confronted.,She changed her mind when confronted.,"1.0,1.0,1.0","-1.0,-1.0,0.0",0.9985139,0.000244495,0.001241588,0.000233576,0.9993771,0.000389331,+/o
471,to,decide,I've decided to let Dave Hanson watch.,I've not decided to let Dave Hanson watch.,I've let dave hanson watch.,"1.0,1.0,2.0","-2.0,-1.0,0.0",0.9988196,0.000531629,0.000648835,0.000140686,0.999663,0.000196305,o/o
472,to,fail,The Insider fails to note a few hopeful ironies.,The Insider does not fail to note a few hopeful ironies.,The insider notes a few hopeful ironies.,"-2.0,-2.0,-2.0","0.0,1.0,2.0",0.002403965,0.99335545,0.004240511,0.99779165,0.000331202,0.001877196,-/+
473,to,continue,Tuppence continued to look at the floor.,Tuppence did not continue to look at the floor.,Tuppence looked at the floor.,"2.0,2.0,2.0","-2.0,-2.0,1.0",0.9986321,0.000491552,0.000876444,0.003218204,0.9954873,0.001294453,o/o
474,to,begin,"Suddenly, the spirit began to move away.","Suddenly, the spirit did not begin to move away.","Suddenly, the spirit moved away.","1.0,1.0,2.0","-2.0,-2.0,-2.0",0.9988337,0.000201743,0.000964561,0.000285004,0.9993424,0.000372694,+/-
475,to,use,They used to have requirements.,They did not used to have requirements.,They had requirements.,"1.0,2.0,2.0","-2.0,-1.0,1.0",0.99822944,0.000162036,0.001608553,0.001701843,0.99673116,0.001567032,+/-
476,to,seem,Every new thing seems to prove it.,Every new thing does not seem to prove it.,Every new thing proves it.,"1.0,1.0,2.0","-1.0,-1.0,0.0",0.99654275,0.000451179,0.003006028,0.000121412,0.9996536,0.000224935,o/o
477,to,need,They needed to slow down.,They did not need to slow down.,They slowed down.,"0.0,1.0,2.0","0.0,0.0,0.0",0.998577,0.000210854,0.00121218,0.000231004,0.9994697,0.000299348,o/o
478,to,prefer,Modern artists prefer to work and sell in the main islands.,Modern artists do not prefer to work and sell in the main islands.,Modern artists work and sell in the main islands.,"0.0,1.0,2.0","-1.0,-1.0,0.0",0.9958062,0.001568814,0.002624894,0.002801985,0.9954898,0.001708239,o/o
479,to,prove,That proved to be the anomaly for the next three quarters of the game.,That did not prove to be the anomaly for the next three quarters of the game.,That was the anomaly for the next three quarters of the game.,"1.0,2.0,2.0","-2.0,-1.0,1.0",0.99814796,0.000522823,0.001329218,0.000142981,0.9995833,0.00027376,o/o
480,to,hope,"In 1903, railroad officials visited Las Vegas hoping to secure land to build on.","In 1903, railroad officials visited Las Vegas not hoping to secure land to build on.","In 1903, railroad officials visited las vegas securing land to build on.","0.0,0.0,1.0","0.0,0.0,0.0",0.99807405,0.000681249,0.001244664,0.002256622,0.9957337,0.002009742,o/o
481,to,wish,People wishing to get lessons and rent equipment have the chance.,People not wishing to get lessons and rent equipment have the chance.,People getting lessons and rent equipment have the chance.,"1.0,1.0,2.0","-1.0,0.0,0.0",0.99770784,0.000328076,0.001964068,0.001593943,0.99625945,0.00214669,o/o
482,to,cease,"Many of the high packhorse routes had ceased to be used for the transportation of goods, but these old  rights of way  for foot and bridle traffic were now transformed into an extensive network of marked and mapped routes ideal for recreational walkers and hikers.","Many of the high packhorse routes had not ceased to be used for the transportation of goods, but these old  rights of way  for foot and bridle traffic were now transformed into an extensive network of marked and mapped routes ideal for recreational walkers and hikers.","Many of the high packhorse routes had been used for the transportation of goods, but these old rights of way for foot and bridle traffic were now transformed into an extensive network of marked and mapped routes ideal for recreational walkers and hikers.","-1.0,0.0,1.0","1.0,2.0,2.0",0.9988919,0.000514339,0.000593896,0.9989245,0.000328409,0.000747126,o/o
483,to,deserve,The greater use of broadbanding is one of the options that deserves to be discussed.,The greater use of broadbanding is one of the options that does not deserve to be discussed.,The greater use of broadbanding is one of the options that is discussed.,"0.0,0.0,1.0","-1.0,0.0,0.0",0.9981698,0.00032918,0.001501031,0.000750196,0.99850404,0.000745712,o/o
484,to,hope,Klayman brings up controversial questions which hope to bring mayhem in the court room.,Klayman brings up controversial questions which do not hope to bring mayhem in the court room.,Klayman brings up controversial questions which bring mayhem in the court room.,"0.0,0.0,1.0","-1.0,0.0,0.0",0.9986249,0.000323218,0.00105191,0.000578371,0.9985436,0.000877968,o/o
485,to,propose,"Third, the Commission proposed to amend a Commission rule regarding packaging to clarify that the type of hearing aid compatibility referred to is electro-magnetic coil compatibility.","Third, the Commission did not propose to amend a Commission rule regarding packaging to clarify that the type of hearing aid compatibility referred to is electro-magnetic coil compatibility.","Third, the commission amended a commission rule regarding packaging to clarify that the type of hearing aid compatibility referred to is electro-magnetic coil compatibility.","0.0,1.0,2.0","-2.0,-2.0,0.0",0.9982688,0.000832584,0.000898664,0.000130409,0.99961,0.000259677,o/o
486,to,serve,Failure to provide the information we are seeking serves to undercut the important principles of transparency and accountability in government.,Failure to provide the information we are seeking does not serve to undercut the important principles of transparency and accountability in government.,Failure to provide the information we are seeking undercuts the important principles of transparency and accountability in government.,"1.0,2.0,2.0","-2.0,-2.0,-1.0",0.9980102,0.000801867,0.00118793,0.001482425,0.9959324,0.002585239,+/-
487,to,aim,Overall the priorities aim to improve the financial information needed to implement good policies and management.,Overall the priorities do not aim to improve the financial information needed to implement good policies and management.,Overall the priorities improve the financial information needed to implement good policies and management.,"2.0,2.0,2.0","-1.0,-1.0,0.0",0.99798536,0.000405002,0.001609709,0.000158991,0.9994585,0.000382517,o/o
488,to,strive,"As we strive to continue and improve upon our efforts for the community, it is our hope that you will join us by providing Keep Indianapolis Beautiful with a generous gift.","As we do not strive to continue and improve upon our efforts for the community, it is our hope that you will join us by providing Keep Indianapolis Beautiful with a generous gift.","As we continue and improve upon our efforts for the community, it is our hope that you will join us by providing keep indianapolis beautiful with a generous gift.","2.0,2.0,2.0","0.0,2.0,2.0",0.99870193,0.000231324,0.001066693,0.000869319,0.9984439,0.000686733,o/o
489,to,threaten,Court officials statewide fear the number of self-represented litigants has reached crisis levels and threatens to clog court calendars.,Court officials statewide fear the number of self-represented litigants has reached crisis levels and does not threaten to clog court calendars.,Court officials statewide fear the number of self-represented litigants has reached crisis levels and clogs court calendars.,"0.0,1.0,2.0","-2.0,-1.0,-1.0",0.9986115,0.000305268,0.00108331,0.002428839,0.9953275,0.002243739,o/o
490,to,learn,Orrin Hatch thinks war is necessary and learned to fly planes in case he got called to action.,Orrin Hatch thinks war is necessary and did not learn to fly planes in case he got called to action.,Orrin hatch thinks war is necessary and flew planes in case he got called to action.,"1.0,2.0,2.0","-2.0,-2.0,-1.0",0.99888545,0.000401397,0.000713164,0.86307365,0.12953846,0.007387878,+/-
491,to,decline,"Walker's two clients, Jamie Harrison and Robin Hull, declined to be interviewed.","Walker's two clients, Jamie Harrison and Robin Hull, did not decline to be interviewed.","Walker's two clients, jamie harrison and robin hull, was interviewed.","-2.0,-1.0,1.0","0.0,1.0,2.0",0.000177348,0.9995109,0.000311759,0.5290239,0.4667346,0.004241521,-/o
492,to,love,People love to see visible improvements in National Parks.,People do not love to see visible improvements in National Parks.,People see visible improvements in national parks.,"0.0,1.0,1.0","0.0,0.0,0.0",0.9966664,0.000252726,0.003080868,0.9886699,0.004094814,0.00723538,o/o
493,to,work,"The LSC staff worked to calibrate the units in the division, which took them about a full year.","The LSC staff did not work to calibrate the units in the division, which took them about a full year.","The lsc staff calibrated the units in the division, which took them about a full year.","1.0,2.0,2.0","-2.0,-2.0,1.0",0.9985881,0.000494764,0.00091724,0.9942253,0.004103186,0.001671505,o/o
494,to,happen,I happened to walk in on John and Mary Cavendish who were arguing with each other. ,I did not happen to walk in on John and Mary Cavendish who were arguing with each other. ,I walked in on john and mary cavendish who were arguing with each other.,"2.0,2.0,2.0","-2.0,-2.0,-2.0",0.9986259,0.000530986,0.000843142,0.000525019,0.99863315,0.000841874,o/o
495,to,claim,Aquacity at S'Arenal claims to be the biggest aquatic park in the world.,Aquacity at S'Arenal does not claim to be the biggest aquatic park in the world.,Aquacity at s'arenal is the biggest aquatic park in the world.,"0.0,1.0,1.0","-2.0,0.0,0.0",0.99430835,0.000522186,0.005169453,0.000161802,0.99942446,0.000413811,o/o
496,to,expect,There's expected to be more people requesting postal delivery services.,There's not expected to be more people requesting postal delivery services.,There's been more people requesting postal delivery services.,"-1.0,0.0,0.0","-2.0,-1.0,0.0",0.991171,0.001525243,0.007303576,0.966256,0.020861134,0.012882803,o/o
497,to,have,He had to be escorted off.,He did not have to be escorted off.,He was escorted off.,"-1.0,2.0,2.0","-2.0,-2.0,-1.0",0.99860865,0.000246316,0.001145057,0.000264446,0.99932075,0.000414828,+/o
498,to,return,So-called commuter aliens are a special category of lawful permanent residents recognized by the INS regulations as resident aliens of the United States who may reside outside of the United States in a contiguous territory and who return to work in the United States regularly.,So-called commuter aliens are a special category of lawful permanent residents recognized by the INS regulations as resident aliens of the United States who may reside outside of the United States in a contiguous territory and who do not return to work in the United States regularly.,So-called commuter aliens are a special category of lawful permanent residents recognized by the ins regulations as resident aliens of the united states who may reside outside of the united states in a contiguous territory and who work in the united states regularly.,"1.0,2.0,2.0","-2.0,-2.0,0.0",0.9986259,0.0004256,0.000948511,0.99207205,0.006009923,0.001917953,o/o
499,to,have,Something has to be done. ,Something does not have to be done. ,Something is done.,"-2.0,0.0,1.0","0.0,0.0,0.0",0.9966368,0.00027758,0.00308573,0.000479564,0.9987243,0.000796146,+/o
500,to,appear,It appeared to be coarse kitchen salt.,It did not appear to be coarse kitchen salt.,It was coarse kitchen salt.,"1.0,1.0,1.0","-2.0,-1.0,-1.0",0.9922311,0.000614914,0.007154005,0.000930193,0.99691087,0.002158953,o/o
501,to,say,The old man said to avoid the other person.,The old man did not say to avoid the other person.,The old man avoided the other person.,"0.0,0.0,0.0","0.0,0.0,0.0",0.996606,0.001800214,0.001593706,0.063077025,0.9293642,0.007558696,o/o
502,to,help,Hugh de Morville helped to kill Thomas Becket at Ceterbury Cathedral.,Hugh de Morville did not help to kill Thomas Becket at Ceterbury Cathedral.,Hugh de morville killed thomas becket at ceterbury cathedral.,"-1.0,0.0,1.0","-2.0,-2.0,-1.0",0.9699201,0.026271846,0.003808002,0.002496515,0.9948531,0.002650335,+/o
503,to,get,He even got to learn the girl's name.,He even did not get to learn the girl's name.,He even learnt the girl's name.,"1.0,1.0,2.0","-2.0,-2.0,-2.0",0.9986237,0.000195854,0.00118047,9.38E-05,0.99970424,0.000202015,+/-
504,to,start,Tax forms have started to arrive for 2001.,Tax forms have not started to arrive for 2001.,Tax forms have arrived for 2001.,"0.0,2.0,2.0","-2.0,-2.0,-2.0",0.9988318,0.000261057,0.000907222,0.000402557,0.9988759,0.000721525,+/-
505,to,intend,The Soviet Union intended to invade the Japanese mainland.,The Soviet Union did not intend to invade the Japanese mainland.,The soviet union invaded the japanese mainland.,"0.0,0.0,1.0","0.0,0.0,0.0",0.99534106,0.002329399,0.002329567,0.000660782,0.99835074,0.000988476,o/o
506,to,seek,Harley-Davidson has sought to trademark the rumble of its motorcycles.,Harley-Davidson has not sought to trademark the rumble of its motorcycles.,Harley-davidson has trademarked the rumble of its motorcycles.,"-1.0,0.0,0.0","-2.0,-1.0,-1.0",0.98968905,0.003844283,0.006466749,0.000163252,0.999587,0.000249742,o/o
507,to,choose,Zero Brits have chosen to live there permanently.,Zero Brits have not chosen to live there permanently.,Zero brits have lived there permanently.,"0.0,0.0,1.0","-2.0,0.0,1.0",0.9983699,0.00022534,0.001404861,0.000116506,0.9996636,0.000219925,o/o
508,to,plan,The man planned to kill someone with his axe. ,The man did not plan to kill someone with his axe. ,The man killed someone with his axe.,"0.0,0.0,1.0","-2.0,0.0,0.0",0.9969971,0.0008968,0.002106101,0.000352257,0.99882334,0.00082442,o/o
509,to,like,I do all the things I like to do.,I do all the things I do not like to do.,I do all the things i do.,"-1.0,0.0,1.0","-1.0,0.0,2.0",0.9982671,0.000174654,0.001558253,0.99864084,0.000368084,0.000991099,o/o
510,to,remain,"Whether this will ever happen remains to be seen, but perhaps the aid offered by Greece to Turkey after 1999's devastating earthquake is a sign that the animosity between these two traditional enemies is beginning to diminish.","Whether this will ever happen does not remain to be seen, but perhaps the aid offered by Greece to Turkey after 1999's devastating earthquake is a sign that the animosity between these two traditional enemies is beginning to diminish.","Whether this will ever happen is seen, but perhaps the aid offered by greece to turkey after 1999's devastating earthquake is a sign that the animosity between these two traditional enemies is beginning to diminish.","-1.0,0.0,2.0","1.0,1.0,2.0",0.99857914,0.000485268,0.000935507,0.9936145,0.004560875,0.001824708,-/o
511,to,tend,The Sinai tend to travel to various locations.,The Sinai do not tend to travel to various locations.,The sinai travel to various locations.,"0.0,1.0,2.0","-1.0,-1.0,0.0",0.99864894,0.000185076,0.001165992,0.000516513,0.9985977,0.000885809,+/o
512,to,decide,The army patrol decided to ignore him.,The army patrol did not decide to ignore him.,The army patrol ignored him.,"1.0,1.0,2.0","-2.0,-2.0,-1.0",0.99851185,0.000874457,0.000613704,0.00084023,0.9984684,0.00069142,o/o
513,to,fail,Wolf failed to convert the issue into a lesson.,Wolf did not fail to convert the issue into a lesson.,Wolf converted the issue into a lesson.,"-2.0,-2.0,-1.0","1.0,1.0,2.0",0.000202694,0.9994351,0.000362133,0.9977316,0.000783255,0.001485189,-/+
514,to,continue,They continued to eat as he came closer.,They did not continue to eat as he came closer.,They ate as he came closer.,"1.0,2.0,2.0","-2.0,-2.0,-1.0",0.998574,0.000481629,0.000944335,0.000264292,0.99929917,0.000436528,o/o
515,to,begin,The other woman began to cry in fright.,The other woman did not begin to cry in fright.,The other woman cried in fright.,"2.0,2.0,2.0","-2.0,-2.0,-2.0",0.99862075,0.000167451,0.001211812,0.000362346,0.9989655,0.000672069,+/-
516,to,use,Kal used to be a slave trader. ,Kal did not used to be a slave trader. ,Kal was a slave trader.,"0.0,2.0,2.0","-2.0,-2.0,-1.0",0.99837875,0.00055404,0.001067275,0.001517995,0.9966197,0.001862251,+/-
517,to,seem,And the ploy seems to be working.,And the ploy does not seem to be working.,And the ploy is working.,"1.0,1.0,1.0","-2.0,-2.0,-1.0",0.99688727,0.000257136,0.002855594,0.000144307,0.9995664,0.000289285,o/o
518,to,need,I need to be told twice. ,I do not need to be told twice. ,I am told twice.,"0.0,0.0,1.0","0.0,0.0,0.0",0.993781,0.000812832,0.005406175,0.000493986,0.9986413,0.000864815,o/o
519,to,mean,Did she like the fact that he meant to attack her?,Did she like the fact that he did not mean to attack her?,Did she like the fact that he attacked her.,"-2.0,-1.0,1.0","0.0,0.0,0.0",0.99779904,0.000477718,0.001723326,0.002387493,0.99462545,0.00298704,o/+
520,to,prefer,Most people prefer to read the paperback volume of Homer.,Most people do not prefer to read the paperback volume of Homer.,Most people read the paperback volume of homer.,"0.0,1.0,1.0","-1.0,-1.0,0.0",0.98818773,0.008351885,0.00346044,0.001117477,0.9974089,0.00147361,o/o
521,to,prove,Interventions have proven to have no affect on problem drinking.,Interventions have not proven to have no affect on problem drinking.,Interventions have had no affect on problem drinking.,"1.0,2.0,2.0","-1.0,-1.0,0.0",0.9986904,0.000248943,0.001060643,0.9976318,0.000462809,0.001905364,o/o
522,to,hope,The Republicans in the House had hoped to get things done with the president.,The Republicans in the House had not hoped to get things done with the president.,The republicans in the house had gotten things done with the president.,"0.0,0.0,0.0","-2.0,0.0,0.0",0.01434651,0.9617075,0.023946,0.000938824,0.9971915,0.001869632,o/o
523,to,cease,"As journalism has become less of a trade and more of a profession, once common vices like embellishment, plagiarism, and binge drinking have ceased to be regarded as charming.","As journalism has become less of a trade and more of a profession, once common vices like embellishment, plagiarism, and binge drinking have not ceased to be regarded as charming.","As journalism has become less of a trade and more of a profession, once common vices like embellishment, plagiarism, and binge drinking have been regarded as charming.","-2.0,-1.0,1.0","0.0,1.0,2.0",0.9658008,0.032518268,0.001680959,0.9979037,0.001330003,0.00076638,o/o
524,to,deserve,Lennox Lewis deserved to win the fight according to spectators and sports fans. ,Lennox Lewis did not deserve to win the fight according to spectators and sports fans. ,Lennox lewis won the fight according to spectators and sports fans.,"-1.0,-1.0,0.0","-2.0,-1.0,2.0",0.985519,0.003584805,0.010896209,0.001599399,0.99483925,0.003561388,o/o
525,to,hope,"We actually hope to expand our services as a result of the merger, she said.","We actually do not hope to expand our services as a result of the merger, she said.","We actually expand our services as a result of the merger, she said.","0.0,0.0,1.0","-2.0,-1.0,0.0",0.007975341,0.003345711,0.98867893,0.000212575,0.9991154,0.000672003,o/o
526,to,propose,Senate Majority Leader Trent Lott proposed to amend the McCain-Feingold bill to ban unions from funneling dues to political activity without workers' explicit consent.,Senate Majority Leader Trent Lott did not propose to amend the McCain-Feingold bill to ban unions from funneling dues to political activity without workers' explicit consent.,Senate majority leader trent lott amended the mccain-feingold bill to ban unions from funneling dues to political activity without workers' explicit consent.,"0.0,0.0,0.0","-2.0,-1.0,0.0",0.99558544,0.001550287,0.002864355,0.000147947,0.99956423,0.000287759,o/o
527,to,serve,This served to reinforce the message that high levels of improper payments are unacceptable in the United Kingdom.,This did not serve to reinforce the message that high levels of improper payments are unacceptable in the United Kingdom.,This reinforced the message that high levels of improper payments are unacceptable in the united kingdom.,"1.0,2.0,2.0","-2.0,-2.0,-2.0",0.9988256,0.000288276,0.000886125,0.000176539,0.99954164,0.000281761,+/-
528,to,aim,The site aims to be the premier destination for all the latest research on accounting and financial management.,The site does not aim to be the premier destination for all the latest research on accounting and financial management.,The site is the premier destination for all the latest research on accounting and financial management.,"0.0,0.0,1.0","-2.0,-1.0,0.0",0.99395907,0.000972613,0.005068371,0.000137378,0.9995764,0.000286227,o/o
529,to,promise,People who plunge their wrists into ice water are perfect for devices that promise to relieve carpal tunnel syndrome.,People who plunge their wrists into ice water are perfect for devices that do not promise to relieve carpal tunnel syndrome.,People who plunge their wrists into ice water are perfect for devices that relieve carpal tunnel syndrome.,"1.0,2.0,2.0","-2.0,-1.0,0.0",0.9986677,0.000247439,0.001084914,0.000861449,0.9977582,0.001380356,o/o
530,to,ask,"Personal Communication with a utility engineer that asked to remain anonymous, August 6, 2001.","Personal Communication with a utility engineer that did not ask to remain anonymous, August 6, 2001.","Personal communication with a utility engineer that remained anonymous, august 6, 2001.","0.0,0.0,2.0","-2.0,-1.0,0.0",0.9975915,0.000905339,0.001503182,0.93990934,0.055907656,0.004183052,o/o
531,to,turn,The quirk ceased when he turned to look at the blue uniformed man.,The quirk ceased when he did not turn to look at the blue uniformed man.,The quirk ceased when he looked at the blue uniformed man.,"1.0,2.0,2.0","-2.0,-2.0,-1.0",0.99806446,0.000948898,0.000986698,0.004723914,0.9928233,0.002452707,o/o
532,to,struggle,The city struggled to rebuild from Crusader wars and invasions.,The city did not struggle to rebuild from Crusader wars and invasions.,The city rebuilt from crusader wars and invasions.,"0.0,1.0,1.0","-2.0,0.0,2.0",0.000728666,0.9983694,0.000902027,0.005153056,0.99171865,0.003128291,o/o
533,to,decline,"Oreskes declined to tell him, of course, who the Times ' sources were.","Oreskes did not decline to tell him, of course, who the Times ' sources were.","Oreskes told him, of course, who the times' sources were.","-2.0,-2.0,-1.0","0.0,0.0,1.0",0.000125643,0.9996669,0.000207421,0.07972104,0.9164344,0.003844477,-/o
534,to,love,Tourist love to take pictures of the beautiful panorama.,Tourist do not love to take pictures of the beautiful panorama.,Tourist take pictures of the beautiful panorama.,"0.0,1.0,2.0","-1.0,-1.0,0.0",0.99828434,0.000125275,0.001590357,0.99073833,0.004409943,0.004851776,o/o
535,to,wait,Tommy thought of how missing supper would mean waiting to eat in the morning.,Tommy thought of how missing supper would mean not waiting to eat in the morning.,Tommy thought of how missing supper would mean eating in the morning.,"1.0,1.0,1.0","-1.0,0.0,0.0",0.99848086,0.000617734,0.000901453,0.003325042,0.9948602,0.0018148,o/o
536,to,work,"He and his wife, Addie, spent years working to make the Holocaust Memorial Museum a reality. ","He and his wife, Addie, spent years not working to make the Holocaust Memorial Museum a reality. ","He and his wife, addie, spent years making the holocaust memorial museum a reality.","1.0,2.0,2.0","-2.0,-2.0,2.0",0.99852186,0.000448453,0.00102978,0.002106658,0.9970264,0.000866908,o/o
537,to,happen,"My door happened to be ajar, and I heard her talking to some one in the passage.","My door did not happen to be ajar, and I heard her talking to some one in the passage.","My door was ajar, and i heard her talking to some one in the passage.","2.0,2.0,2.0","-2.0,-2.0,-1.0",0.9987179,0.000212185,0.001069979,0.000743523,0.9984452,0.000811211,o/o
538,to,pretend,Bening pretended to be the children's book author in the play.,Bening did not pretend to be the children's book author in the play.,Bening was the children's book author in the play.,"-1.0,0.0,1.0","-1.0,0.0,0.0",0.728474,0.24217391,0.029352052,0.00179698,0.9959633,0.002239791,o/o
539,to,exist,A program exists to assess deficiencies.,A program does not exist to assess deficiencies.,A program assesses deficiencies.,"1.0,2.0,2.0","-2.0,-2.0,-2.0",0.9986756,0.000166229,0.001158203,0.000335873,0.9990969,0.000567324,o/o
540,to,want,I want to keep it.,I do not want to keep it.,I keep it.,"0.0,0.0,0.0","-2.0,0.0,1.0",0.80089253,0.04778195,0.15132555,0.000364366,0.9991934,0.000442271,o/o
541,to,forget,They forgot to schedule their next meeting before they parted. ,They did not forget to schedule their next meeting before they parted. ,They scheduled their next meeting before they parted.,"-2.0,-2.0,0.0","0.0,2.0,2.0",0.000673123,0.99851054,0.000816322,0.9983814,0.000621149,0.000997509,-/+
542,to,strive,Oregon's 16 Legal Aid offices strive to provide civil legal services for the state's lowincome population.,Oregon's 16 Legal Aid offices do not strive to provide civil legal services for the state's lowincome population.,Oregon's 16 legal aid offices provide civil legal services for the state's lowincome population.,"1.0,2.0,2.0","-1.0,-1.0,0.0",0.9980951,0.000466116,0.001438679,0.000481936,0.99845207,0.001065957,o/o
543,to,strive,"Altogether there were 130 lawyers striving to serve 550,000 vulnerable and less fortunate individuals in the state.","Altogether there were 130 lawyers not striving to serve 550,000 vulnerable and less fortunate individuals in the state.","Altogether there were 130 lawyers serving 550,000 vulnerable and less fortunate individuals in the state.","-1.0,0.0,2.0","-2.0,-2.0,-1.0",0.9983543,0.000595007,0.001050695,0.8663507,0.12666903,0.006980298,o/o
544,to,strive,"All feature a blend of ancient and modern, of dignity and fun, and strive to make the visitor feel welcome and treasured.","All feature a blend of ancient and modern, of dignity and fun, and do not strive to make the visitor feel welcome and treasured.","All feature a blend of ancient and modern, of dignity and fun, and make the visitor feel welcome and treasured.","1.0,1.0,2.0","-2.0,-1.0,-1.0",0.99822456,0.000297558,0.001477887,0.005162373,0.9934134,0.001424336,o/o
545,to,strive,"Drew concentrated on the business at hand, striving to forget the crowd opening up to let him through, shouting encouragement or disparagement.","Drew concentrated on the business at hand, not striving to forget the crowd opening up to let him through, shouting encouragement or disparagement.","Drew concentrated on the business at hand, forgetting the crowd opening up to let him through, shouting encouragement or disparagement.","1.0,1.0,2.0","-1.0,0.0,0.0",0.99835,0.000949893,0.000700126,0.000782707,0.9985024,0.000714881,o/o
546,to,strive,"Therefore, commercial companies strive to firm the design as early in the process as possible when it is significantly cheaper to make changes.","Therefore, commercial companies do not strive to firm the design as early in the process as possible when it is significantly cheaper to make changes.","Therefore, commercial companies firm the design as early in the process as possible when it is significantly cheaper to make changes.","0.0,1.0,2.0","-2.0,-2.0,-1.0",0.9982691,0.000444624,0.00128631,0.000156492,0.99955994,0.00028362,o/o
547,to,strive,We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.,We also have found that leading organizations do not strive to ensure that their core processes efficiently and effectively support mission-related outcomes.,We also have found that leading organizations ensure that their core processes efficiently and effectively support mission-related outcomes.,"-1.0,1.0,1.0","-2.0,-1.0,0.0",0.9982054,0.000236769,0.001557721,0.000152562,0.9995813,0.00026623,o/o
548,to,forget,I had forgotten to tell them it would be. ,I had not forgotten to tell them it would be. ,I had told them it would be.,"-2.0,-2.0,-1.0","-2.0,1.0,1.0",0.000185247,0.99950147,0.000313207,0.99672574,0.000643384,0.002630855,-/+
549,to,forget,The auction forgot to include the licenses.,The auction did not forget to include the licenses.,The auction included the licenses.,"-2.0,-1.0,0.0","2.0,2.0,2.0",0.00027181,0.9993334,0.00039482,0.9987381,0.000264099,0.000997781,-/+
550,to,forget,They forgot to publish a notice of proposed rulemaking.,They did not forget to publish a notice of proposed rulemaking.,They published a notice of proposed rulemaking.,"-2.0,-2.0,-2.0","2.0,2.0,2.0",0.000383723,0.9991468,0.000469427,0.99868613,0.000249054,0.001064771,-/+
551,to,forget,They forgot to collect the data so the reports were rejected.,They did not forget to collect the data so the reports were rejected.,They collected the data so the reports were rejected.,"-2.0,-2.0,-1.0","-1.0,2.0,2.0",0.000295256,0.999278,0.0004267,0.9984163,0.000882699,0.000701043,-/+
552,to,forget,The FCC forgot to prepare an Initial Regulatory Flexibility Analysis.,The FCC did not forget to prepare an Initial Regulatory Flexibility Analysis.,The fcc prepared an initial regulatory flexibility analysis.,"-2.0,-2.0,-2.0","1.0,2.0,2.0",0.002162236,0.9965359,0.001301925,0.99849105,0.000362307,0.001146638,-/+
553,to,turn,I turned to look behind me.,I did not turn to look behind me.,I looked behind me.,"2.0,2.0,2.0","-2.0,-2.0,-1.0",0.9982528,0.000403562,0.001343638,0.0065184,0.99199617,0.001485497,o/o
554,to,forget,Before it began he had forgotten to tell people to avoid the cameras.,Before it began he had not forgotten to tell people to avoid the cameras.,Before it began he had told people to avoid the cameras.,"-2.0,-2.0,0.0","-2.0,1.0,1.0",0.000288214,0.9992318,0.000479911,0.99835587,0.000906982,0.000737141,-/+
555,to,forget,They forgot to post the results to the Florida legal services website. ,They did not forget to post the results to the Florida legal services website. ,They posted the results to the florida legal services website.,"-2.0,-1.0,-1.0","1.0,2.0,2.0",0.000209254,0.99951077,0.00028006,0.9988776,0.000339935,0.000782455,-/+
556,to,forget,Most visitors forget to stop and see the stone panels of birds and flowers.,Most visitors do not forget to stop and see the stone panels of birds and flowers.,Most visitors stop and see the stone panels of birds and flowers.,"-2.0,-1.0,0.0","1.0,2.0,2.0",0.003029065,0.99516886,0.001802041,0.99740845,0.000715556,0.001876042,-/+
